Stock#,Lane,Item#,Year,Make,Model,Odometer,VIN,Sale Document,Loss Type,Vehicle Location Info,Auction Date,Public,Primary Damage,Secondary Damage,Run & Drive,Starts,Odometer Status,Fuel Type,Cylinders,Transmission,Provider,Buy Now Price
25239190,,#TBD,2005,ACURA,MDX,"142,876",2HNYD18945H533515,SALVAGE CERTIFICATE-CA,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,LEFT & RIGHT,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Mercury Insurance,$675.00
25162867,,#TBD,2011,AUDI,Q5,"79,500",WA1WKAFP4BA058134,PREVIOUS SALVAGE-MI,WATER,,7/11/2019 7:30:00 AM,YES,FLOOD,FRONT & REAR,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,"$5,700.00"
25397273,,#TBD,2005,BENTLEY,CONTINENTAL,"71,045",SCBCR63W25C028848,CLEAR-FL,OTHER,,7/11/2019 7:30:00 AM,NO,NONE,UNKNOWN,YES,YES,ACTUAL,Gasoline,12 Cyl,Automatic,,"$26,000.00"
25112456,,#TBD,2013,BMW,328,"111,025",WBA3B3C58DF536341,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,RIGHT SIDE,FRONT & REAR,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25102838,,#TBD,2004,BMW,330,"151,574",WBAEW53444PN35780,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,LEFT SIDE,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25088504,,#TBD,2017,BMW,430I,"23,110",WBA4R7C55HK876664,SCRAP-MI,WATER,,7/11/2019 7:30:00 AM,NO,FRESH WATER,FRONT END,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Liberty Mutual,
24972670,,#TBD,2014,BMW,435,"74,457",WBA3R5C54EK187372,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,ENGINE DAMAGE,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
25353996,,#TBD,1999,BMW,528,,WBADP6349XBV61954,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,STRIP,FRONT END,NO,NO,INOPERABLE DIGITAL DASH,Gasoline,6 Cyl,Automatic,,$375.00
24090952,,#TBD,2005,BMW,530,"224,928",WBANA73595B815213,SALVAGE-GA,COLLISION,,7/11/2019 7:30:00 AM,NO,REAR,,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,USAA - ACH,
25306334,,#TBD,2013,BMW,535,"88,428",WBAFU7C5XDDU72510,PREVIOUS SALVAGE-MI,OTHER,,7/11/2019 7:30:00 AM,YES,MECHANICAL,FRONT & REAR,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,"$6,500.00"
25294874,,#TBD,2013,BMW,750,"75,634",WBAYF8C51DD140531,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,,YES,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,"$15,000.00"
25280053,,#TBD,2007,BMW,X3,"298,410",WBXPC73467WE51458,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,ENGINE DAMAGE,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,"$1,250.00"
25256577,,#TBD,2019,BMW,X5,516,5UXCR6C58KLL04741,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,REAR,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25277728,,#TBD,2007,BMW,X5,"136,463",4USFE83577LY66802,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,RIGHT FRONT,UNKNOWN,YES,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,"$4,500.00"
24918401,,#TBD,2017,BUICK,ENCLAVE,"16,000",5GAKVBKD4HJ300850,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,LEFT SIDE,NO,NO,INOPERABLE DIGITAL DASH,Gasoline,6 Cyl,Automatic,USAA - ACH,"$7,050.00"
25048350,,#TBD,2014,BUICK,ENCLAVE,"129,493",5GAKRBKD2EJ218941,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25176964,,#TBD,2014,BUICK,ENCLAVE,"83,535",5GAKVBKD9EJ350039,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,ROOF,,YES,YES,ACTUAL,Other,,Automatic,AAA Auto Club Group Companies,
